		d07ctrl031	d07ctrl032	d07ctrl033	d07ctrl034	d07ctrl035	d07ctrl036	d07ctrl037	d07ctrl038	d07ctrl039	d07ctrl040	d07sub041	d07sub042	d07sub043	d07sub044	d07sub045	d07sub046	d07sub047	d07sub048	d07sub049	d07sub050	d07ther051	d07ther052	d07ther053	d07ther054	d07ther055	d07ther056	d07ther057	d07ther058	d07ther059	d07ther060	d35ctrl091	d35ctrl092	d35ctrl093	d35ctrl094	d35ctrl095	d35ctrl096	d35ctrl097	d35ctrl098	d35ctrl099	d35ctrl100	d35sub101	d35sub102	d35sub103	d35sub104	d35sub105	d35sub106	d35sub107	d35sub108	d35sub109	d35sub110	d35ther111	d35ther112	d35ther113	d35ther114	d35ther115	d35ther116	d35ther117	d35ther118	d35ther119	d35ther120	d78ctrl181	d78ctrl182	d78ctrl183	d78ctrl184	d78ctrl185	d78ctrl186	d78ctrl187	d78ctrl188	d78ctrl189	d78ex1sub	d78ex2sub	d78ex3sub	d78sub191	d78sub192	d78sub193	d78sub194	d78sub195	d78sub196	d78sub197	d78sub198	d78sub199	d78sub200	d78ther201	d78ther202	d78ther203	d78ther204	d78ther205	d78ther206	d78ther207	d78ther208	d78ther209	d78ther210
trt	ARG_name	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	ther	ther	ther	ther	ther	ther	ther	ther	ther	ther	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	ther	ther	ther	ther	ther	ther	ther	ther	ther	ther	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	ther	ther	ther	ther	ther	ther	ther	ther	ther	ther
gene_1155404	poxtA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	14521	1	1	11308	77397	3427	8169	1	1	1	1	2853	84637	2386	1	77192	1	1	318944	7639	2095	1	1	2934	7791	1	1	1	6537	1	2754	7853	1	1688	9645	4324	6070	1	1	60780	52057	12273	31044	57996	36857	3315	13194	5276	12224	8447	92799	42536	17296	1902	3162	32646	55869	21895	75310	37995	9123	12711
gene_1155997	catS	26080	1	1	5585	1	1	54268	1	1	6249	50556	1	57757	23115	231350	204332	118829	78788	54605	36473	267306	442623	545825	43363	58647	3466	137037	1	69488	22144	4721	15726	33594	158826	1	62391	37183	111462	6269	32210	164519	1	13759	99278	52064	33462	114456	32549	151815	1	141685	27851	1	22890	10133	1	95083	57313	46757	52955	1	30639	4018	13169	4181	1	10525	1	1	50588	19343	1	1	20113	23966	1	1	1	1	1	1	1	4090	1	74012	12130	1	5177	29173	1	18982	4133
gene_1157306	lnuA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gene_1157308	lnuA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gene_1157310	lnuA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gene_1157312	lnuA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gene_1157314	lnuA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gene_1158389	cpxA	638409	154700	188705	20293	475550	43015	7042	796098	32824	278138	396578	676824	489627	54588	319322	36088	136990	1011640	582775	347848	125443	366138	130078	649876	63923	209359	60553	846350	470737	667088	1	21426	6538	16029	13852	12143	53072	7231	1	14628	8539	16848	18745	2818	1819	69906	22277	48041	2462	15039	782049	22767	35054	10395	39114	12729	14394	23859	28956	56844	1627	1	12774	5981	11393	12769	1	3256	36912	8615	1	4349	30003	4567	34829	1	1948	16618	12835	1995	4766	6029	55719	312232	22408	156085	35197	18809	15142	12467	49569	3754
gene_1179220	poxtA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	49573	1	1	5063	1	1	1	6892	12867	1	7437	1	2822	1	921	6630	16493	21103	1	1	1	1701	1	1	1	4664	1	1	1	1	27368	3178
gene_1190788	ugd	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4164	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	113947	1	1	1	1	1	1	1	1	10596	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4501	5443	9050	1	1	1	1	1	5223	1
