		d07ctrl031	d07ctrl032	d07ctrl033	d07ctrl034	d07ctrl035	d07ctrl036	d07ctrl037	d07ctrl038	d07ctrl039	d07ctrl040	d07sub041	d07sub042	d07sub043	d07sub044	d07sub045	d07sub046	d07sub047	d07sub048	d07sub049	d07sub050	d07ther051	d07ther052	d07ther053	d07ther054	d07ther055	d07ther056	d07ther057	d07ther058	d07ther059	d07ther060	d35ctrl091	d35ctrl092	d35ctrl093	d35ctrl094	d35ctrl095	d35ctrl096	d35ctrl097	d35ctrl098	d35ctrl099	d35ctrl100	d35sub101	d35sub102	d35sub103	d35sub104	d35sub105	d35sub106	d35sub107	d35sub108	d35sub109	d35sub110	d35ther111	d35ther112	d35ther113	d35ther114	d35ther115	d35ther116	d35ther117	d35ther118	d35ther119	d35ther120	d78ctrl181	d78ctrl182	d78ctrl183	d78ctrl184	d78ctrl185	d78ctrl186	d78ctrl187	d78ctrl188	d78ctrl189	d78ex1sub	d78ex2sub	d78ex3sub	d78sub191	d78sub192	d78sub193	d78sub194	d78sub195	d78sub196	d78sub197	d78sub198	d78sub199	d78sub200	d78ther201	d78ther202	d78ther203	d78ther204	d78ther205	d78ther206	d78ther207	d78ther208	d78ther209	d78ther210
trt	ARG_name	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	ther	ther	ther	ther	ther	ther	ther	ther	ther	ther	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	ther	ther	ther	ther	ther	ther	ther	ther	ther	ther	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	ctrl	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	sub	ther	ther	ther	ther	ther	ther	ther	ther	ther	ther
gene_1776095	poxtA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5352	9841	1	9941	1	1	27965	1	1	1	1	1	1	1	1	1	6047	1	3039	15531	1	6382	5650	1	7070	23970	54518	10738	1	14238	1	46509	11657	1	23476	1	2666	253889	1	19581	53213	100941	5346	67318	1	1	1	12251	58520	1	1	8274	9172	11274	1	72174	6972	15308	13232	46091
gene_1790590	poxtA	1	1	1	1	1	1	36465	1	2698	3266	1	5447	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2508	52262	1	95490	11104	195558	36037	16834	174416	3878	1	51884	12558	38473	2136	6379	8501	3461	1	1	1	1	1	1	13251	1	1	1	1872	10675	109201	2294	17480	8816	13751	1	1	1	1	18351	23017	10511	15030	1	1	11952	12923	2296	1	2313	34197	72377	68764	78186	141760	40584	246121	14346	59522	17278
gene_1805973	tet(A)	66453	5422	6263	1	17707	2897	12094	59721	5369	42246	121885	113806	60067	9616	23589	1	23766	193675	85184	75864	13900	104807	36532	154620	6099	27036	1	1	99368	145854	2455	6133	9982	6118	34893	9270	38670	1	9779	5583	19554	11575	10732	16133	1	48721	8502	50776	2819	3444	546902	23172	10946	1	31614	7287	19777	19868	13262	7510	9312	1	20895	13696	10871	11696	1	7457	47237	3288	10058	4980	57255	15688	38633	4484	2231	11892	1837	1	8185	4602	51039	362650	17105	107230	10075	21537	8669	11420	22209	17192
gene_1811014	lnuC	1384121	942071	2368484	577353	1159035	1755868	3019864	2811747	2713810	1347139	672069	2154594	258874	2709913	960699	1244979	1065858	884858	562159	1636824	1072682	707431	2445714	1272880	3814825	1861365	1213914	1	1459945	2949651	3523238	1576020	2311008	2372946	2283922	1943793	1339220	3733528	2694692	2551325	2156891	1552672	2514899	3136584	2675798	3534919	1963299	1943845	2084663	1770014	680086	1509707	1353368	2082376	1724383	2791215	1606158	1691823	1489632	1432212	1237112	2465492	1428467	2147044	2023894	2388878	2023336	1369407	2115499	2279832	1706835	1625765	2220812	1914244	1978839	2543565	1103153	1516458	1678863	2254353	760668	2181258	1721924	1577484	1689762	2156076	1001399	1422733	1513079	1937876	1363956	1828591
gene_1818592	vanI	1	2060	1	1	20179	1	1	7164	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	161521	1	1	1	1	1	4374	1	1	1	1	1	1	1	1	1	1	1	2198	1	1	1	1	1	1	1	1	3229	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2396	1	1	1	1	1	1
gene_18221	poxtA	1003	8018	1	1	1	156373	5961	1	1985	2403	1	1	1	1	1	1	1	1	1	5609	1	1	1	1	1	1333	1	1	2226	1	1	396025	138384	1	199357	1713	1	128562	677248	241489	1	1	1	1	1	1	1	1	35438	1	1	1	1	1	1	1	1	1	1	1	360783	940431	925411	347667	1343846	222683	752658	294979	720574	162891	185917	607531	369708	854475	1080821	218805	517871	258511	742930	373342	8069	57849	1572	1	1	1555	3725	336388	1602	103431	1825	392458
gene_1828188	ErmC	39855	50166	86913	80611	36138	4730	32909	25659	52595	42445	1	17696	10896	1	69322	1	7760	30404	1	167211	3782	1	1	10518	19916	5885	1	1	24581	1	340688	236979	20372	29964	36253	155123	257048	67592	15966	68365	35916	110237	64244	10536	85003	193180	93701	6908	105872	1	101782	66206	1	268823	1	1	26908	48657	1	20435	9122	13006	6823	1	1	19096	8935	30437	4059	1	16421	2710	1	8538	4069	1	1	3883	5998	1	4455	22542	1	1	6982	6865	8225	4395	28306	1	4029	1
gene_1837225	YojI	104165	23438	43730	1	83901	14450	1	166175	1	94006	133501	135145	36616	21582	44707	3925	21336	234060	94413	52972	13865	102496	36441	115676	12168	44947	13448	386662	60073	130176	1	1	1	1	1	1	1	1	1	1	1	1924	1	1	1	1	1	1	1	1	76319	1	1	1979	1	1	1	1	4410	1	1858	1	2084	1	1	2917	1	1	2480	1	1	1	3808	1	1	1	2225	1	1	1	1	1	1	2566	1	2097	1	2685	1	1	1	1
gene_1846558	poxtA	1003	2673	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12706	1	1	2262	14072	1	4084	3061	4820	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	16524	3927	60252	57382	38579	28106	40465	1	12867	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1555	1	1	1	1	1	1
gene_1860349	poxtA	5277	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1499	1	2343	1	24836	82729	349568	78555	96274	133452	51589	54770	45661	80380	15217	1	1	1	1	2708	1	14818	35106	1	1	1	1	1	1	1	2565	1	1	1	1	2066	27643	76383	8460	36409	59628	1	75456	51179	1	6459	17823	162780	1	3489	1	1	7148	1	33973	16117	9930	110085	13311	134171	27442	20950	25298	168851	74895	178943
gene_1863706	Vibrio anguillarum chloramphenicol acetyltransferase	1	1	1	1	1	1	1	1	1	1	4531	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	21708	9913	4725	8500	4229	1	6965	4331	1	4362	4032	9752	56746	19929	1	1	1	1	14034	1
gene_1882251	tet(W/N/W)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1230	1	2328	1	1	1	1	3513	1	1	1	1	1	1	1	1	1	1	1	1	1	5179	1	1	1	1528	1	2236	1	1302	1	1	1	7049	1	1	1	1	1	6586	1	1	1	5526	1	37249	1	19589	1427	8153	1	35916	69911	104108	1	6286	3112	1	1	1	1	255129	44596	1	1	1	76227	1	1	1	1	1	1	1	1	1	1
gene_188588	poxtA	1	1	1	1	1	1	1	1	2003	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	26040	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	112580	15853	48339	22145	16225	102561	30632	153039	111321	1	1	9910	2849	1	2790	1	4994	3550	5483	3410	2036	1	1	1	3191	1	1	1	3235	4261	1	4811
gene_1890572	vanI	1	1	1	1	8989	1	1	1	1	3299	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10979	1	1	1	1	1	1	1	1	3220	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7563	10783	1	1	2207	1	2778	62459	12620	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gene_1891311	vanI	44314	6110	1	1	24940	29380	31797	31875	1	3662	8079	6106	1	54174	18605	8868	2678	8393	1	38466	1	11578	110824	1	17181	69049	8680	1	1	82171	13831	99051	36554	31020	17871	23500	37347	23324	14692	15727	44066	8695	84644	101795	114982	137243	47901	23838	50829	50448	25543	42428	28779	62587	74211	160113	33426	8395	2491	28207	14690	2992	9418	15432	36745	9884	6167	14704	16808	7410	1	3741	38708	11784	11233	20209	5027	18760	6209	5149	36892	5186	21566	17388	1	2369	1	1	29303	12867	8341	29057
gene_192019	tet(W/N/W)	15724	1	72612	1	1	1	1	1	1	1	1	1	38690	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	14232	1	28934	1	36778	13434	32025	1	1	1	1	1	1	1	1	60523	24645	1	16344	1	1	16791	1	115002	1	1	1	28795	64068	14512	53984	46181	48452	52930	12604	16951	1	75652	72063	1	1	38492	22128	60630	7224	1	1	1	10649	1	79086	13340	1	29820	24790	24377	1	1	1	1	1	12458
gene_1931344	vanI	1356	3615	1	2904	1	2897	4031	1	5369	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2455	2044	1	1	9516	2317	1	8280	9779	2792	4889	3858	1	1	2083	3480	4251	1	1	1	1	2897	1	3968	2634	1	3296	7451	1	5007	1	2655	1	2283	1	1	1	1864	1	1	1	1	1	1	1246	1	4461	4757	1	2285	1	1	1	10288	8552	1	10075	1	1	1	1	1
gene_1931969	poxtA	1005	1	1	1	1	4292	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7274	16658	1849	1	2350	8583	1	3067	1	20678	1	8574	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1967	1	1	1	2166	1	1	1	1	1	1	2827	1	1	1	1	1762	1	1	50527	1	15753	1	1	1	1	1	16053	1	1	1
gene_1946317	poxtA	10869	17120	1	1	12902	1	1	1	1	1	1	1	1	17515	1	1	1	2714	1	38692	1	1	1	4694	1	1	43500	1	1	1	1	13406	1	4457	1	1	54337	6033	1	1	62331	1	20851	9403	15174	27891	10841	26205	57518	1	1	1	2658	1	1	1	1	1	1	1	1	7739	3045	1	1	1	1	1	1	7187	1	1209	61184	91441	2724	6534	1	1	1	28300	15904	1	106912	125554	15578	99575	282615	111803	17369	16641	39555	103339
gene_1962685	kdpE	1	1	1	1	1	1	1	1	1	1	1	1	1	8510	1	3483	4206	1	1	1	1	1	1	1	1	3190	1	1	1	6793	1	1	1	10828	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	165508	1	1	1	1	1	1	1	1	8861	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2206	1	1	1	1	1	9658	1	3764	22761	1	7443	1	1	1	1	4368	1
gene_1983811	evgS	230402	68711	56887	8794	227859	23392	9494	374330	14450	195691	232357	382863	233509	25879	96814	10591	72756	513728	237220	155684	50659	190813	64287	333774	29753	83070	35635	326012	289717	357679	1652	2751	7556	7203	3201	2339	7434	1	1	4696	3289	11682	7221	1085	701	45660	3575	22776	949	4635	340329	11693	13503	6674	10635	14709	1109	16710	4462	19370	2506	1787	10544	2304	5120	1967	921	5645	14219	2212	1	2792	23114	3518	12997	4525	2251	4001	1	1	918	1	27186	115080	12947	63660	3389	19019	12394	4802	20754	7230
gene_1983812	evgA	15499	1	1	1	1	1	1	1	1	55709	1	1	1	1	1	1	1	1	1	1	1	23486	1	18407	1	10299	1	1	1	43866	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	14242	1	1	13591	1	1	1	1	12152	14697	1	1	1	15383	1	1	1	1
gene_1993875	mdtM	57904	60926	21111	1	89532	6511	1	127141	6033	80329	59076	48713	172476	16206	37106	8843	10681	142285	85078	59668	10412	110833	31575	159253	1	36453	17312	1	60899	94879	1	1	1	1	1	1	1	1	1	1	1	8670	1	1	1	15641	1	19017	1	7739	133725	1	8200	4458	11840	8188	1	5581	4967	22502	1	1	1	5129	1	1	1	8379	1	1	1	3730	17155	1	1	1	5013	1	1	1	1	1	19116	40458	1	23624	1	6050	9740	12831	11091	1
gene_1997733	vanRG	1	1	1	1	1	1	1	1	4569	11063	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12272	3278	1	1	1	4179	6960	1	1	5399	1	1	7047	1	1	1	3284	1	1	1	1	3618	1	1	1	1	1	12421	1	1	6202	5611	1	1	17044	3170	1	3557	3885	3701	4977	9316	6347	1	11194	1	2825	1	1	6364	15264	1	1	3127	3889	1	1	1	1	1	3579	1	9165	25822	1	12601	1
gene_1997735	vanI	1	2066	1	1	1	6622	1	1	1	3714	1	1	1	1	1	1	2716	1	1	13005	1	2349	1	1	1	12359	1	1	3441	1	2806	1	5704	13983	1	7945	1	4731	1	6381	1	1	1	1	1	1	4859	1	1	1	1	1	1	2267	6022	4164	1	1	2526	2861	1	1	2388	2609	1	1	3127	6392	5683	7516	1	15177	1	1	2848	1	7648	2718	2099	7834	1	1	2430	2939	1	2403	11514	3077	12384	1	2820	2456
gene_2027443	poxtA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1466	12545	3291	17973	1712	27629	2155	2936	17618	5178	1	1	3006	1	1	1	1	1	1446	1	1	1	1675	1	1	1	1	1	1	6744	1	1692
gene_2031301	tetW	3112535	2279574	3956185	1644222	1935243	4964788	3930036	3586354	3960774	4219255	3254446	2298032	2049638	3657164	4068065	3625616	4410302	2914494	1293023	3631524	4344678	4002269	3427506	2576997	3559582	3447170	3014120	2541826	2645851	2030297	3112297	3816148	3343731	3236056	3875873	3023996	3906240	4379804	3541148	4887534	5267890	3031820	4245758	3533321	4747824	4153277	4613638	4911111	4147476	2401400	2328891	5926019	5766278	4314467	3512632	4101533	5144265	4467673	3575188	4568932	2580955	5241135	3685764	3008565	2932071	3368275	2129369	2901368	2809501	2544327	2572245	3138523	3520837	3589078	3018156	2597202	2135563	4330643	2650030	3655708	3047550	2877128	3551352	2243109	3224704	3129706	2367362	1818269	2927457	4767539	3085278	2428471
gene_2031316	lnuA	130595	160663	77319	57370	142097	57228	268758	85371	86170	112335	53109	66905	49438	11871	75716	24292	76285	156338	1	46830	5720	45667	6939	7954	7530	13351	14266	1	14870	18954	48493	15143	166368	105739	274133	228877	150042	214667	209265	144748	78458	166717	1	127468	25711	8593	41988	36567	55692	76534	76964	57215	108112	24491	65049	17993	48833	42926	87322	24724	59782	26226	185735	28180	107363	238258	6757	18413	141190	1	124175	102467	141371	129119	33848	121784	11016	46982	13607	45132	33685	90912	68262	95259	52793	67489	1	66472	90968	14098	12186	5306
gene_2034046	poxtA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	69494	1	1	1	14602	2182	24506	2783	11132	1	1	1	1	1	1	1	1	10650	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gene_2039337	TolC	5491	1464	1	1	7169	1	1	15271	2174	7894	1	4388	5404	1	1910	1	1924	3016	3832	1	1	24960	2275	10433	7408	2919	1	1	12191	6216	1	1	1	1	1	1	1	1	1	1	1	3124	1	1	1	1	1	1	1	1	4589	1	1	1	1	1	1	1	1790	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2018	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5994	1
gene_2057334	gadW	13394	1	1	1	7287	1	1	5174	1	1	3934	1	16479	1	1	1	1	1	1	1	1	3383	1	1	1	1	1	1	4957	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4641	1	237890	1	1	1	1	17993	1	4088	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6283	1	1	1	1	1	1	1	1	1	3501	1	1	1	1	4431	1	1	1	1
gene_2057335	mdtF	437783	151150	119030	8492	313246	45745	14145	556955	31398	279358	356389	513410	351268	42175	212435	13808	100066	690453	437269	272844	97543	312462	93673	502967	48152	140185	55187	566708	378593	410762	4307	13151	4378	3578	7420	9486	16153	1	1	9795	10006	13538	8368	1887	1218	61054	4972	32168	1	8056	578338	23714	10669	3480	27731	23438	19276	24690	15511	38062	5446	7764	17107	4005	2543	8550	1	4361	17447	7692	1	3883	31250	6116	20406	5244	7827	8346	2148	1336	1596	1	59695	209068	22507	111890	8838	23615	20278	6678	23089	11310
gene_2085758	vanI	15544	2072	25123	13315	45664	79693	46205	36025	83074	14898	63000	68324	3825	52350	10814	137566	73544	8538	70512	21738	5310	37685	32208	7384	3495	16526	24281	1	62121	1	30951	39833	45763	45576	29085	21248	31658	37960	22416	35195	47625	4422	4100	18490	26256	43875	4872	38797	3231	35526	9743	26558	16728	29558	33214	20880	18890	42697	5067	25822	4269	3043	2395	13081	12459	1	1	17094	2849	3769	1	7610	8750	17980	17140	1	12783	2726	1	20950	1	21100	12187	5896	4901	21688	1	9256	7452	1	8485	12315
gene_2091850	vanI	48537	140792	3296	6114	4660	45745	38192	268000	1	208664	173582	108387	432059	311249	69524	4142	67545	160743	1663835	95828	963241	796056	686277	162758	54573	352887	4055	1	1794004	1	105951	47343	60418	164213	16695	65862	26168	156884	65194	135171	195542	1	22593	44153	109609	14653	246124	31178	213682	1	2983	176841	7682	1	74875	3835	97152	386911	48860	21081	1960	1	13197	4806	50348	6156	5761	5887	1	41535	74113	10484	24108	242200	10494	37759	4696	1	5801	14430	109139	1	44771	83928	36010	143859	63632	39673	95812	1	75329	52028
gene_209683	adeF	1	1	1	1	1	1	1	1	5080	2460	1	1	1	1	893	1	1	1	1	2871	1	2333	1	1219	1	2728	729	1	1	4358	1	1	1	1	4802	1	1	1	1	1056	1	252596	1	1	1	1	1	1	1	11730	1	1	1	1	1	1	1	1	1	1	436977	18088	74329	864	246001	1107	1036	253276	84675	2489	3806	182801	40445	5937	472	37330	2532	149414	100103	1	2065	219452	1	1	16183	13526	3813	24450	20503	1080	1	47981
gene_2126158	marA	171087	50053	115621	1	286044	1	1	299814	8260	189981	198546	383522	277231	29587	79838	12109	43875	504244	291229	116714	28513	189696	25940	396461	37534	44366	29630	596351	138976	307061	7554	12581	7679	9412	1	1	16998	1	1	1	7521	5936	11007	1	6408	21416	6540	19529	1	1	488267	17825	11227	1	48636	1	50711	1	6801	38513	5731	1	1	7023	6690	1	8420	1	1	1	1	5108	35234	16090	15338	1	1	1	1	7030	1	1	32717	150362	1	84102	1	24850	6668	26353	45557	33061
gene_2128430	vanI	1	5201	57071	1	12739	1	1	1	18026	1	1	1	1	1	2263	1	1	3573	1	1	1	1971	1	1	1	44951	33253	1	1	1	1	1	1	1	1	1	1	1	1	1	1	40711	1	1	1	1	1	1	1	1	1	1	1	1	1	6990	3162	1	1	1	1787	7641	1	2190	4171	1	1	3577	1	6308	1	1	1	1	1	1	2140	2282	1762	2192	1	15452	1	1	1	1	1	1	1	1	1	1
gene_2154214	Escherichia coli ampC1 beta-lactamase	181916	78633	79468	7020	246086	49016	9743	349457	9732	184574	213719	432236	137111	40671	85518	4756	51696	472599	188727	123766	50393	156456	33960	354240	7371	87124	18619	234217	160109	273665	1	1	1	1	1	1	6676	1	1	6747	1	4663	1	1	1	4206	1	1	1	1	106156	7001	4409	1	3184	1	1	3001	2671	3025	1	1	2525	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9324	1	7623	1	1	1	1	2982	1
gene_2154216	Escherichia coli ampC1 beta-lactamase	6536	1	1	1	7111	1	1	1	1	1	11518	8706	5361	3862	1	1	22907	11966	1	1	7443	23109	1	15524	1	1	1	1	4837	6166	1	1	1	1	1	1	17749	1	1	1	1	1	1	5183	1	1	1	6797	1	1	13656	1	1	6374	1	1	1	7979	3551	1	1	1	3357	1	1	4697	1	1	1	1	1	1	6132	1	8008	1	1	1	1	1	4383	1	10249	86766	1	13510	1	4325	3481	4586	11892	10357
gene_2154911	poxtA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25523	4635	30379	1	4324	2023	1	1	14587	1	3682	31044	7733	4607	6630	19791	3517	1	5068	4035	1	1	1	1	1	1	1	1	1	1	1
gene_2162319	kdpE	24003	12796	11085	1	39176	1	1	22253	1	17255	1	19183	112219	4255	4175	1	16825	39553	83760	33568	1	14549	1	39909	1	3190	3409	1	15988	20380	1	1	1	1	5614	1	1	1	1	1	1	3414	1	1	1	1	1	1	1	1	10031	1	1	1	23314	6449	1	8791	1	1	3296	1	1	1	1	1	1	1	4400	1	1	1	1	1	4411	1	11844	4210	1	1	1	1	3764	4552	7569	3721	1	1	1	1	1	1
gene_2190698	npmA	1	9859	28467	1	8049	5268	21989	5715	68333	23634	17381	1	1	13112	12867	17888	90742	81262	1	27587	1	70992	97079	17570	44358	111420	84040	1	76647	20936	13391	271343	22687	1	1	4213	5022	37636	438579	1	4444	3508	6504	11733	15146	6327	11594	3847	41010	1	5152	1	59707	32462	1	33124	5993	9031	1	4552	6773	19312	566068	20751	1	5316	34828	3390	1	179357	1	9054	1	1	15861	1	1	4324	3340	8308	14883	62760	96665	60792	54425	87925	54955	73421	59105	25954	35894	31258
gene_2196235	marA	6235	1	1	1	1	1	1	28903	1	1	1	1	15343	1	1	1	1	1	1	1	1	28345	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13028	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11346	1
gene_2200035	emrR	303416	151132	99073	1	350148	52378	18221	490128	12133	352508	356460	514377	422315	54327	165253	26680	75191	866952	385014	300027	62825	329735	152417	458618	13784	142561	34819	437998	489948	641880	1	1	1	6913	21506	1	6242	1	1	12617	22095	17439	32337	29166	1	78646	4804	33468	6372	23349	646786	45821	16492	13449	59536	8234	29796	16838	9990	33944	4209	1	4722	5158	1	1	1	8426	22474	22293	1	1	8626	1	22530	10133	10082	10750	1	1	6166	1	24030	232496	1	99782	34153	6084	29385	38711	44613	9713
gene_2200036	emrA	157296	64504	46564	4319	197481	21540	1	299131	15967	96645	181242	249813	99243	14299	80675	11703	53009	299070	161854	90247	55117	122233	29251	220338	22674	64323	17183	1	143281	199761	1	12160	1	1	1	3446	4107	1	4847	4151	1	1	1	1	1	10350	3161	6292	1	1	134837	8614	1	1	1	1	1	11079	1	3722	2769	1	1	1	1	1	4069	1	11091	1	1	1	1	1	7412	1	1	1	1	1	1	1	3162	38245	12717	15632	1	16012	12890	1	22017	9587
gene_2224541	AcrS	31910	19629	22671	10514	56087	1	14593	11378	4859	17645	30279	29426	126838	8702	38425	3561	1	141566	77090	54924	4193	44634	15259	58303	1	22836	13943	701590	54500	20841	1	3700	1	1	5741	1	29996	7493	1	1	1	1	1	5840	1	1	1	19146	5103	1	87190	15728	1	1	9537	1	1	4495	8001	1	1	1	1	4131	1	1	4953	1	4500	1	1	1	1	1	13534	1	4037	21525	3325	4135	4938	8330	11547	55862	15480	60889	9118	1	15690	5167	17866	1
gene_2224542	AcrE	300748	114254	165494	6019	321120	42032	12533	521154	25037	228993	321956	393112	280104	52314	183331	16312	86197	659994	264822	200470	93626	264067	87363	447303	44244	136346	43907	803375	287072	401726	1	4237	7758	6340	13149	4803	37210	1	3378	2893	12665	3998	3707	1	2158	43276	2203	24116	23373	10707	519755	15008	34030	10279	35490	15103	3416	25736	18324	38912	1930	1	15157	7096	1	3030	1	3864	18034	6815	10423	6881	15822	1	18080	1	2312	7394	1904	2368	1	9539	33056	199895	1	80616	31321	27897	13475	2958	28129	4454
gene_2224543	AcrF	11071	1	1	1	1	1	1	1	7305	1	1	1	9080	1	6419	1	1	1	1	1	1	1	1	1	1	4904	1	1	1	1	1	1	1	16647	1	1	1	1	1	1	1	15748	1	1	1	1	1	1	1	1	15421	1	1	1	35843	1	1	1	1	1	1	1	1	1	5916	1	1	1	6765	1	1	1	1	1	1	1	1	1	1	1	1	1	11573	20996	1	17164	1	1	1	15537	1	1
gene_2234271	tet(45)	151387	38671	5826	1	1	5390	3750	26315	4994	1	2223	5041	18625	2236	26331	1	15475	93546	1	109385	2155	13382	26141	1	2837	5030	7166	1	8403	1	47957	28526	46428	76828	50164	12934	102777	69321	78839	49339	13642	25124	6655	30014	94927	6475	27682	41329	36718	19222	7908	35028	10183	36908	115182	57620	272896	97032	71964	11643	6930	17291	3887	23357	30336	2720	1	32950	39316	45882	1	13897	3551	9729	26663	41710	8300	33188	13670	10627	38072	12844	9891	7178	3978	5868	18744	12521	6048	23902	22955	31985
gene_2247521	vanI	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3725	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2129	6069	2388	5217	1	1	1	4261	8524	7516	34485	7588	26174	1	15667	1	1	2718	10497	2611	1	7890	4861	1	1	4806	1	1	1	3263	1	2456
gene_2249447	ugd	1	1	1	1	1	1	1	4539	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5543	1	1	1	1	1	1	1	5978	1	1	3530	2786	1	1	1	1	6139	3055	1	1	180047	1	5269	1	3804	1	4760	1	1	10845	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1800	1	1	1	1	1	1	3323	1	1	1	3036	1	1	1	1	3563	1
gene_2250903	mdtC	7217	5611	2777	2576	51042	1	1	6969	2381	2882	12718	16823	59194	1	10461	1	7377	49550	35677	21868	4109	30074	7477	38569	1	10391	854	85949	26706	15319	1	1	1	1356	1	1	6124	1836	1	1238	1084	2566	1586	1431	1	10803	943	13135	1	1	56548	2569	3236	1	7010	1616	1462	13216	5881	8881	826	1178	4633	1	1	1297	1214	827	1103	1	1	1472	1	2319	7184	1988	989	2110	1	1013	1210	1	8488	54747	1896	24242	1	5969	2883	2532	14226	1906
gene_2259555	vanI	1	1	14315	1	1	1	1	1	3068	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4402	1	1	1	5611	4673	1	3496	1	1	1	1	1	3190	1	1	4088	3687	1	1	2429	4836	12889	1	1	1	1	1	1	8328	1	1	1	1	1	1	9552	13044	4969	1	3127	2131	5683	1	11495	3794	17449	1	2848	1	2549	1	2099	15667	46774	1	2430	11758	1	2403	11514	1	1	39153	1	4912
