geneID	d07ctrl031	d07ctrl032	d07ctrl033	d07ctrl034	d07ctrl035	d07ctrl036	d07ctrl037	d07ctrl038	d07ctrl039	d07ctrl040	d07sub041	d07sub042	d07sub043	d07sub044	d07sub045	d07sub046	d07sub047	d07sub048	d07sub049	d07sub050	d07ther051	d07ther052	d07ther053	d07ther054	d07ther055	d07ther056	d07ther057	d07ther058	d07ther059	d07ther060	d35ctrl091	d35ctrl092	d35ctrl093	d35ctrl094	d35ctrl095	d35ctrl096	d35ctrl097	d35ctrl098	d35ctrl099	d35ctrl100	d35sub101	d35sub102	d35sub103	d35sub104	d35sub105	d35sub106	d35sub107	d35sub108	d35sub109	d35sub110	d35ther111	d35ther112	d35ther113	d35ther114	d35ther115	d35ther116	d35ther117	d35ther118	d35ther119	d35ther120	d78ctrl181	d78ctrl182	d78ctrl183	d78ctrl184	d78ctrl185	d78ctrl186	d78ctrl187	d78ctrl188	d78ctrl189	d78ex1sub	d78ex2sub	d78ex3sub	d78sub191	d78sub192	d78sub193	d78sub194	d78sub195	d78sub196	d78sub197	d78sub198	d78sub199	d78sub200	d78ther201	d78ther202	d78ther203	d78ther204	d78ther205	d78ther206	d78ther207	d78ther208	d78ther209	d78ther210
gene_3577101	157	171	155	213	84	78	42	109	98	46	27	35	28	170	111	351	184	32	4	62	19	62	35	57	59	50	150	0	106	17	70	79	253	226	90	140	187	84	89	95	168	49	112	116	114	193	273	300	169	80	80	112	88	891	231	72	111	330	452	140	226	140	202	199	95	112	154	145	183	143	56	280	115	86	231	36	67	110	108	127	151	163	75	205	230	327	100	173	221	115	158	128
gene_3577271	11	4	41	3	5	15	4	3	34	6	2	0	1	2	2	4	5	0	0	2	0	12	0	0	10	10	14	0	2	1	9	14	7	2	11	10	12	4	7	1	6	9	12	3	5	5	22	15	2	15	3	10	5	9	1	10	2	15	3	11	20	14	20	12	17	13	19	17	11	7	4	31	7	7	20	10	2	6	18	10	22	18	18	5	6	26	11	12	9	5	9	6
gene_3579571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
gene_3585992	19	5	0	0	0	0	1	15	0	0	0	0	2	1	2	0	0	7	0	5	0	2	0	0	0	1	0	0	0	0	0	3	5	2	3	1	2	1	0	3	6	4	5	1	9	2	2	8	1	6	18	10	1	20	12	6	19	20	12	2	4	5	3	2	2	1	4	241	16	8	0	5	1	0	21	2	3	2	2	6	1	1	4	27	2	6	0	1	5	2	10	6
gene_3602763	0	1	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	1	1	0	1	0	2	4	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	1	8	0	6	0	0	0	0	1	0
gene_3603401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_3606030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
gene_3615335	4	3	1	0	5	0	0	1	0	1	2	0	9	0	1	0	0	10	8	1	0	1	2	5	0	2	0	0	4	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	1	15	1	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	0	2	0	0	1	2	1	5	0	0	1	0	0	0	0	3	4	1	4	0	0	1	2	1	2
gene_3617004	2	0	0	0	0	0	0	0	0	0	3	2	0	0	4	1	2	2	0	2	1	6	0	3	0	4	1	0	2	7	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	4	0	3	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	2	0	0	0	1	0	0	0	6	23	0	7	0	1	3	1	3	1
gene_3628040	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_3641913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	1	0	1	0	1	7	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	2
gene_3646435	5	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
gene_3657346	12	11	10	3	4	0	1	7	2	1	0	0	0	0	4	0	1	2	0	7	0	1	0	0	0	1	0	0	0	0	20	8	1	2	0	6	16	6	0	7	5	16	4	0	29	11	15	5	6	4	25	13	0	25	52	3	15	11	9	5	18	19	3	3	7	2	2	7	29	7	0	6	0	2	16	4	5	9	18	0	6	3	7	8	3	21	0	6	16	4	1	4
gene_3674377	9	0	1	0	0	0	0	0	0	0	6	0	1	1	1	0	0	2	1	0	1	6	1	3	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	4	0	0	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	12	0	0	0	0	0	0	0	0
gene_3675973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_3679618	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
gene_3682586	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_3689789	84	82	46	39	18	66	45	93	49	134	97	22	59	104	148	118	127	72	13	74	207	181	98	47	74	114	95	1	51	12	46	159	64	59	76	81	70	51	68	94	111	95	67	70	169	65	112	121	61	19	48	146	103	160	88	77	138	151	118	119	125	182	188	143	185	82	69	172	102	47	26	168	77	79	278	47	41	159	144	93	84	103	101	63	43	102	30	36	75	93	72	45
gene_3716045	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
gene_3718395	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	2	1	1	2	0	1	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
gene_3725681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
gene_3747664	18	16	3	0	16	4	0	15	2	11	19	6	13	0	8	0	4	26	12	8	4	14	8	25	0	5	1	0	15	15	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	1	0	18	1	0	0	2	0	0	2	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	14	3	10	0	3	2	0	1	1
gene_3761681	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
